Date,Temperature
2019-03-01 00,26.30794192
2019-03-02 00,25.54645622
2019-03-03 00,26.97391763
2019-03-04 00,26.1988385
2019-03-05 00,26.48243167
2019-03-06 00,26.36060357
2019-03-07 00,26.89696454
2019-03-08 00,22.26517519
2019-03-09 00,23.81484925
2019-03-10 00,25.64386226
2019-03-11 00,25.10490761
2019-03-12 00,23.95106117
2019-03-13 00,26.16524221
2019-03-14 00,27.00283044
2019-03-15 00,26.758119
2019-03-16 00,25.44441701
2019-03-17 00,25.78271593
2019-03-18 00,27.19297454
2019-03-19 00,26.94467152
2019-03-20 00,28.46782282
2019-03-21 00,28.48963983
2019-03-22 00,29.23204697
2019-03-23 00,28.64733646
2019-03-24 00,24.89535899
2019-03-25 00,24.06836955
2019-03-26 00,26.6181147
2019-03-27 00,27.88624948
2019-03-28 00,28.63960686
2019-03-29 00,24.80514589
2019-03-30 00,30.01647798
2019-03-31 00,28.75003789
2019-04-01 00,28.8605362
2019-04-02 00,25.52966676
2019-04-03 00,28.02057494
2019-04-04 00,28.06837072
2019-04-05 00,27.56319008
2019-04-06 00,27.44417009
2019-04-07 00,28.23505821
2019-04-08 00,29.19341575
2019-04-09 00,29.6065133
2019-04-10 00,30.28254974
2019-04-11 00,27.76945815
2019-04-12 00,26.42676069
2019-04-13 00,23.35460732
2019-04-14 00,26.04278403
2019-04-15 00,27.55309016
2019-04-16 00,24.84925627
2019-04-17 00,23.58564656
2019-04-18 00,26.56580784
2019-04-19 00,27.39190362
2019-05-03 00,25.47562817
2019-05-04 00,24.67946507
2019-05-05 00,26.78623259
2019-05-06 00,26.24555112
2019-05-07 00,24.54232897
2019-05-08 00,23.20065378
2019-05-09 00,24.56675612
2019-05-10 00,26.19918052
2019-05-11 00,27.05063774
2019-05-12 00,27.81374239
2019-05-13 00,26.49104074
2019-05-14 00,30.14943969
2019-05-15 00,30.48850472
2019-05-16 00,30.25342686
2019-05-17 00,30.63165611
2019-05-18 00,30.46140522
2019-05-19 00,30.17369582
2019-05-20 00,31.18958487
2019-05-21 00,28.3759623
2019-05-22 00,26.5084609
2019-05-23 00,27.48525325
2019-05-24 00,26.09899972
2019-05-25 00,29.37944687
2019-05-26 00,29.88931432
2019-05-27 00,30.03956974
2019-05-28 00,29.42062339
2019-05-29 00,29.36808286
2019-05-30 00,27.54982731
2019-05-31 00,28.97113477
2019-06-01 00,31.35036102
2019-06-02 00,30.74235409
2019-06-03 00,30.96725348
2019-06-04 00,30.86167677
2019-06-05 00,29.25365198
2019-06-06 00,31.20326499
2019-06-07 00,31.93966475
2019-06-08 00,32.17072795
2019-06-09 00,31.43401193
2019-06-10 00,31.47236688
2019-06-11 00,29.64087797
2019-06-12 00,28.6526199
2019-06-13 00,27.80354426
2019-06-14 00,29.76430042
2019-06-15 00,29.2441543
2019-06-16 00,29.70920529
2019-06-17 00,29.55745809
2019-06-18 00,30.52247411
2019-06-19 00,32.16311657
2019-06-20 00,32.35976046
2019-06-21 00,31.80510363
2019-06-22 00,31.98758021
2019-06-25 00,30.955736
2019-06-26 00,29.51945733
2019-06-27 00,28.55676714
2019-06-28 00,30.02012375
2019-06-29 00,32.43143632
2019-06-30 00,31.67208754
2019-07-01 00,31.21525791
2019-07-02 00,32.34426471
2019-07-03 00,30.46545163
2019-07-04 00,27.47822907
2019-07-05 00,29.77114478
2019-07-06 00,29.38876925
2019-07-07 00,29.68324014
2019-07-08 00,30.88724946
2019-07-09 00,30.93296305
2019-07-10 00,29.95468984
2019-07-11 00,28.90825932
2019-07-12 00,27.52174651
2019-07-13 00,30.07316504
2019-07-14 00,31.22534399
2019-07-15 00,31.00783359
2019-07-16 00,31.59203121
2019-07-17 00,30.66286819
2019-07-18 00,30.73552387
2019-07-19 00,29.45107046
2019-07-20 00,29.26236041
2019-07-21 00,28.47531218
2019-07-22 00,29.22445064
2019-07-23 00,29.84742696
2019-07-24 00,30.02556521
2019-07-25 00,30.48390916
2019-07-26 00,30.79504898
2019-07-27 00,31.16815597
2019-07-28 00,30.67041465
2019-07-29 00,29.8236737
2019-07-30 00,31.20317165
2019-07-31 00,31.51953375
2019-08-01 00,31.05385445
2019-08-02 01,29.78825228
2019-08-03 01,29.78846751
2019-08-04 01,25.75682501
2019-08-05 01,29.6487146
2019-08-06 01,30.7917815
2019-08-07 01,31.5072575
2019-08-08 01,31.48867222
2019-08-09 01,31.42789427
2019-08-10 01,30.65664664
2019-08-11 01,31.50752398
2019-08-12 01,31.65707869
2019-08-13 01,30.98282691
2019-08-14 01,28.06216582
2019-08-15 01,31.03980514
2019-08-16 01,29.56471207
2019-08-17 01,29.35029529
2019-08-18 11,28.74293236
2019-08-19 11,28.18378001
2019-08-20 11,28.46837478
2019-08-21 11,28.52546007
2019-08-22 11,29.91758141
2019-08-23 11,30.81968206
2019-08-24 11,30.92849643
2019-08-25 11,28.52758662
2019-08-26 11,29.12014227
2019-08-27 11,30.13348213
2019-08-28 11,30.364157
2019-08-29 11,31.37771715
2019-08-30 19,30.65139288
2019-08-31 19,29.33338247
2019-09-01 19,30.57179506
2019-09-02 19,30.62288554
2019-09-03 19,30.67907232
2019-09-04 19,29.08027636
2019-09-05 19,29.05068782
2019-09-06 19,30.26273212
2019-09-07 19,29.83009345
2019-09-08 19,30.84786762
2019-09-09 19,30.01486027
2019-09-10 19,29.47020999
2019-09-12 10,27.12858379
2019-09-13 10,30.23401378
2019-09-14 10,30.10026701
2019-09-15 10,30.37189199
2019-09-16 10,29.50829519
2019-09-17 10,29.15050739
2019-09-18 10,29.47513853
2019-09-19 10,29.19600524
2019-09-20 10,28.1567846
2019-09-21 10,27.44018874
2019-09-22 10,28.02640236
2019-09-23 10,27.68039895
2019-09-24 10,26.61639207
2019-09-25 10,27.19868606
2019-09-26 15,31.54709923
2019-09-27 15,31.95357455
2019-09-28 15,32.27430597
2019-09-29 15,32.67561826
2019-09-30 15,32.46056407
2019-10-01 15,32.13807193
2019-10-02 15,33.17597913
2019-10-03 15,33.17828748
2019-10-04 15,32.24961577
2019-10-06 13,28.9657889
2019-10-07 13,31.70176662
2019-10-08 13,31.07907376
2019-10-10 01,31.11055063
2019-10-11 01,31.05917753
2019-10-12 01,22.74946701
2019-10-13 01,27.46807634
2019-10-14 01,30.96295275
2019-10-15 01,29.57335122
2019-10-16 01,29.23108145
2019-10-17 01,28.84341268
2019-10-18 01,29.2630539
2019-10-19 01,28.51968324
2019-10-20 01,28.39415823
2019-10-21 01,28.13184828
2019-10-22 01,27.65354095
2019-10-23 01,27.90520352
2019-10-24 13,27.68511251
2019-10-25 13,28.28095247
2019-10-26 13,28.39262094
2019-10-27 13,28.27805845
2019-10-28 13,28.37636905
2019-10-29 13,28.11164395
2019-10-30 13,27.87797811
2019-10-31 13,28.15521487
2019-11-01 13,29.07447826
2019-11-02 13,28.83693533
2019-11-03 13,28.97048255
2019-11-04 13,28.15859118
2019-11-05 13,27.32624631
2019-11-06 13,27.13591737
2019-11-07 17,28.0449412
2019-11-08 17,27.13501658
2019-11-09 17,26.15326042
2019-11-10 17,25.52872086
2019-11-11 17,26.62703508
2019-11-12 17,26.28389083
2019-11-13 17,26.63881988
2019-11-14 17,27.37243912
2019-11-15 17,26.54758303
2019-11-16 17,25.41527169
2019-11-17 17,21.52868926
2019-11-18 17,25.97093993
2019-11-19 17,25.89461675
2019-11-21 00,26.3747331
2019-11-22 00,27.65469569
2019-11-23 00,28.88100509
2019-11-24 00,27.44626339
2019-11-25 00,28.30279212
2019-11-26 00,27.7029282
2019-11-27 00,27.35726548
2019-11-28 00,26.80099881
2019-11-29 00,25.39754594
2019-11-30 00,24.58941763
2019-12-01 00,25.93556525
2019-12-02 00,26.775946
2019-12-03 00,24.35910216
2019-12-04 00,22.50917217
2019-12-05 00,22.4314895
2019-12-06 08,21.3235215
